,"n: 50000, k: 10000","n: 250000, k: 10000","n: 1000000, k: 10000"
0,0.0,0.0,0.3823
1,0.0,0.0,0.3845
2,0.0,0.0,0.38539999999999996
3,0.0,0.0,0.385
4,0.0,0.0,0.3842
5,0.0,0.0,0.3838
6,0.0,0.0,0.37929999999999997
7,0.0,0.0,0.383
8,0.0,0.0,0.3932
9,0.0,0.0,0.38570000000000004
10,0.0,0.0,0.38639999999999997
11,0.0,0.0,0.3819
12,0.0,0.0,0.3821
13,0.0,0.0,0.3903
14,0.0,0.0,0.3804
15,0.0,0.0,0.3897
16,0.0,0.0,0.3871
17,0.0,0.0,0.3881
18,0.0,0.0,0.3881
19,0.0,0.0,0.38570000000000004
20,0.0,0.0,0.3918
21,0.0,0.0,0.3841
22,0.0,0.0,0.3877
23,0.0,0.0,0.3822
24,0.0,0.0,0.38730000000000003
25,0.0,0.0,0.3872
26,0.0,0.0,0.3862
27,0.0,0.0,0.38830000000000003
28,0.0,0.0,0.3875
29,0.0,0.0,0.3886
30,0.0,0.0,0.3913
31,0.0,0.0,0.3835
32,0.0,0.0,0.3846
33,0.0,0.0,0.3844
34,0.0,0.0,0.3889
35,0.0,0.0,0.3856
36,0.0,0.0,0.3809
37,0.0,0.0,0.3871
38,0.0,0.0,0.3881
39,0.0,0.0,0.38029999999999997
40,0.0,0.0,0.38470000000000004
41,0.0,0.0,0.38939999999999997
42,0.0,0.0,0.3828
43,0.0,0.0,0.38930000000000003
44,0.0,0.0,0.3862
45,0.0,0.0,0.38539999999999996
46,0.0,0.0,0.3856
47,0.0,0.0,0.3841
48,0.0,0.0,0.387
49,0.0,0.0,0.3849
50,0.0,0.0,0.3891
51,0.0,0.0,0.3903
52,0.0,0.0,0.3869
53,0.0,0.0,0.381
54,0.0,0.0,0.3784
55,0.0,0.0,0.3871
56,0.0,0.0,0.3878
57,0.0,0.0,0.378
58,0.0,0.0,0.3859
59,0.0,0.0,0.3902
60,0.0,0.0,0.38430000000000003
61,0.0,0.0,0.3888
62,0.0,0.0,0.3895
63,0.0,0.0,0.3872
64,0.0,0.0,0.38630000000000003
65,0.0,0.0,0.3881
66,0.0,0.0,0.38470000000000004
67,0.0,0.0,0.38830000000000003
68,0.0,0.0,0.3828
69,0.0,0.0,0.3892
70,0.0,0.0,0.387
71,0.0,0.0,0.3869
72,0.0,0.0,0.38630000000000003
73,0.0,0.0,0.3891
74,0.0,0.0,0.3855
75,0.0,0.0,0.3823
76,0.0,0.0,0.3859
77,0.0,0.0,0.3868
78,0.0,0.0,0.3809
79,0.0,0.0,0.3823
80,0.0,0.0,0.3851
81,0.0,0.0,0.3878
82,0.0,0.0,0.3875
83,0.0,0.0,0.3856
84,0.0,0.0,0.38839999999999997
85,0.0,0.0,0.3915
86,0.0,0.0,0.39110000000000006
87,0.0,0.0,0.3928
88,0.0,0.0,0.3824
89,0.0,0.0,0.3859
90,0.0,0.0,0.3926
91,0.0,0.0,0.3855
92,0.0,0.0,0.3861
93,0.0,0.0,0.3855
94,0.0,0.0,0.38470000000000004
95,0.0,0.0,0.3892
96,0.0,0.0,0.3876
97,0.0,0.0,0.3817
98,0.0,0.0,0.3861
99,0.0,0.0,0.3879
